_id,name,category,price,pic,description
ObjectId("5eb4a52b8c261c69a007d639"),Poudre d amandes,almond-meal,27,https://static.openfoodfacts.org/images/products/871/854/699/7105/front_en.4.400.jpg,"{"rating":2.02,"quantity":"200 g","energy-kcal_100g":595,"energy_100g":2489,"fat_100g":50,"saturated-fat_100g":3.8}"
ObjectId("5eb4a52b8c261c69a007d644"),Uncle ben's, boil-in-bag brown rice,aromatic-rices,10,https://static.openfoodfacts.org/images/products/005/480/033/9051/front_en.3.400.jpg,"{"rating":1.01,"quantity":"397g","energy-kcal_100g":354,"energy_100g":1481,"fat_100g":3.12,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d645"),Imperial Grain Jasmine Rice,asian-foods,40,https://static.openfoodfacts.org/images/products/22007377/front_en.13.400.jpg,"{"rating":4.71,"quantity":"1kg","energy-kcal_100g":0,"energy_100g":419,"fat_100g":0.1,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d646"),Oat Flakes,avena,42,https://static.openfoodfacts.org/images/products/560/049/951/2685/front_fr.4.400.jpg,"{"rating":0.66,"quantity":"500 g","energy-kcal_100g":359,"energy_100g":1502,"fat_100g":5.7,"saturated-fat_100g":1}"
ObjectId("5eb4a52b8c261c69a007d647"),Finesse avena,avena,6,https://static.openfoodfacts.org/images/products/770/200/108/4999/front_en.9.400.jpg,"{"rating":3.67,"quantity":"250g","energy-kcal_100g":50,"energy_100g":209,"fat_100g":1,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d648"),Avena Quaker O's sabor vainilla,avena,22,https://static.openfoodfacts.org/images/products/750/176/187/3542/front_es.7.400.jpg,"{"rating":4.26,"quantity":"380 g","energy-kcal_100g":0,"energy_100g":1410,"fat_100g":3.33,"saturated-fat_100g":0.667}"
ObjectId("5eb4a52b8c261c69a007d649"),Avena flakes quaker sabor vainilla,avena,7,https://static.openfoodfacts.org/images/products/750/176/186/5424/front_es.8.400.jpg,"{"rating":4.7,"quantity":"425 g","energy-kcal_100g":0,"energy_100g":1530,"fat_100g":6,"saturated-fat_100g":1.33}"
ObjectId("5eb4a52b8c261c69a007d64a"),Salvado de avena oat bran,avena,33,https://static.openfoodfacts.org/images/products/841/447/210/1714/front_es.5.400.jpg,"{"rating":2.92,"quantity":"500 g","energy-kcal_100g":355,"energy_100g":1485,"fat_100g":7.4,"saturated-fat_100g":1.3}"
ObjectId("5eb4a52b8c261c69a007d64b"),Avena,avena,10,https://static.openfoodfacts.org/images/products/842/663/300/0101/front_es.3.400.jpg,"{"rating":3.7,"quantity":"500 g","energy-kcal_100g":334,"energy_100g":1397,"fat_100g":7.1,"saturated-fat_100g":1.4}"
ObjectId("5eb4a52b8c261c69a007d64c"),100% pure avocado oil spray,avocado-oils,18,https://static.openfoodfacts.org/images/products/085/380/700/5033/front_en.3.400.jpg,"{"rating":0.37,"quantity":"4.7oz","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d64d"),Avocado oil,avocado-oils,23,https://static.openfoodfacts.org/images/products/085/676/900/6483/front_en.6.400.jpg,"{"rating":3.56,"quantity":"134 g","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d64e"),Azuki Bohnen,azuki-beans,6,https://static.openfoodfacts.org/images/products/400/604/017/5612/front_en.6.400.jpg,"{"rating":4.1,"quantity":"500 g","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d64f"),Heinz beanz,baked-beans-in-tomato-sauce,50,https://static.openfoodfacts.org/images/products/500/015/700/0231/front_en.4.400.jpg,"{"rating":3.25,"quantity":"200g","energy-kcal_100g":78,"energy_100g":326,"fat_100g":0.64,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d650"),Orge mondé,barley,18,https://static.openfoodfacts.org/images/products/338/039/002/7403/front_fr.3.400.jpg,"{"rating":0.55,"quantity":"500 g","energy-kcal_100g":335,"energy_100g":1402,"fat_100g":2.2,"saturated-fat_100g":0.6}"
ObjectId("5eb4a52b8c261c69a007d651"),Barley Juice,barley,22,https://static.openfoodfacts.org/images/products/888/820/063/2250/front_en.15.400.jpg,"{"rating":1.97,"quantity":"1L","energy-kcal_100g":28,"energy_100g":117,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d652"),Riz basmati bio,basmati-rices,18,https://static.openfoodfacts.org/images/products/20927172/front_fr.17.400.jpg,"{"rating":1.78,"quantity":"500g","energy-kcal_100g":350,"energy_100g":1464,"fat_100g":0.6,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d653"),Riz Basmati,basmati-rices,5,https://static.openfoodfacts.org/images/products/541/067/300/2327/front_fr.4.400.jpg,"{"rating":1.36,"quantity":"1 kg","energy-kcal_100g":350,"energy_100g":1464,"fat_100g":0.6,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d654"),Basmati Rice,basmati-rices,50,https://static.openfoodfacts.org/images/products/761/165/453/2705/front_en.6.400.jpg,"{"rating":4.8,"quantity":"1 kg","energy-kcal_100g":0,"energy_100g":1470,"fat_100g":0.5,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d655"),Himalaya Basmati,basmati-rices,16,https://static.openfoodfacts.org/images/products/400/623/764/0312/front_de.4.400.jpg,"{"rating":1.14,"quantity":"500g","energy-kcal_100g":351,"energy_100g":1490,"fat_100g":1,"saturated-fat_100g":0.3}"
ObjectId("5eb4a52b8c261c69a007d656"),Basmati Reis,basmati-rices,43,https://static.openfoodfacts.org/images/products/431/159/647/9634/front_de.7.400.jpg,"{"rating":3.77,"quantity":"1kg","energy-kcal_100g":351,"energy_100g":1483,"fat_100g":1,"saturated-fat_100g":0.3}"
ObjectId("5eb4a52b8c261c69a007d657"),Basmati,basmati-rices,47,https://static.openfoodfacts.org/images/products/761/331/200/9833/front.3.400.jpg,"{"rating":2.64,"quantity":"1kg","energy-kcal_100g":356,"energy_100g":1511,"fat_100g":1,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d658"),Reis Basmati,basmati-rices,16,https://static.openfoodfacts.org/images/products/20768362/front_de.5.400.jpg,"{"rating":0.04,"quantity":"500g","energy-kcal_100g":352,"energy_100g":1473,"fat_100g":1,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d659"),Riz basmati complet,basmati-rices,20,https://static.openfoodfacts.org/images/products/303/835/459/3302/front_fr.3.400.jpg,"{"rating":0.41,"quantity":"1 kg","energy-kcal_100g":354,"energy_100g":1481,"fat_100g":2.9,"saturated-fat_100g":0.7}"
ObjectId("5eb4a52b8c261c69a007d65a"),Riz basmati de luxe,basmati-rices,50,https://static.openfoodfacts.org/images/products/334/643/800/0104/front_fr.15.400.jpg,"{"rating":1.46,"quantity":"1 kg","energy-kcal_100g":354,"energy_100g":1481,"fat_100g":0.2,"saturated-fat_100g":0.05}"
ObjectId("5eb4a52b8c261c69a007d65b"),Pure Basmati Rice,basmati-rices,21,https://static.openfoodfacts.org/images/products/501/115/788/8101/front_en.3.400.jpg,"{"rating":0.57,"quantity":"250 g","energy-kcal_100g":145,"energy_100g":607,"fat_100g":1.92,"saturated-fat_100g":0.48}"
ObjectId("5eb4a52b8c261c69a007d65c"),Riz Basmati,basmati-rices,30,https://static.openfoodfacts.org/images/products/541/067/300/2327/front_fr.4.400.jpg,"{"rating":0.35,"quantity":"375","energy-kcal_100g":126,"energy_100g":527,"fat_100g":0.5,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d65d"),Reis, Basmati Reis,basmati-rices,23,https://static.openfoodfacts.org/images/products/24884266/front_de.3.400.jpg,"{"rating":4.04,"quantity":"1000g","energy-kcal_100g":352,"energy_100g":1473,"fat_100g":1,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d65e"),Riz basmati complet,basmati-rices,26,https://static.openfoodfacts.org/images/products/303/835/459/3302/front_fr.3.400.jpg,"{"rating":2.37,"quantity":"500 g","energy-kcal_100g":351,"energy_100g":1469,"fat_100g":2.8,"saturated-fat_100g":0.65}"
ObjectId("5eb4a52b8c261c69a007d65f"),Tilda Brown Basmati Rice,basmati-rices,41,https://static.openfoodfacts.org/images/products/501/115/767/1222/front_fr.8.400.jpg,"{"rating":1.22,"quantity":"1kg","energy-kcal_100g":351,"energy_100g":1469,"fat_100g":2.8,"saturated-fat_100g":0.6}"
ObjectId("5eb4a52b8c261c69a007d660"),Riz basmati,basmati-rices,40,https://static.openfoodfacts.org/images/products/541/067/300/2327/front_fr.4.400.jpg,"{"rating":0.35,"quantity":"1kg","energy-kcal_100g":0,"energy_100g":1470,"fat_100g":0.5,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d661"),Riso basmati,basmati-rices,13,https://static.openfoodfacts.org/images/products/800/112/097/5553/front_it.3.400.jpg,"{"rating":2.17,"quantity":"500 g","energy-kcal_100g":0,"energy_100g":1485,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d662"),Riz Basmati,basmati-rices,29,https://static.openfoodfacts.org/images/products/541/067/300/2327/front_fr.4.400.jpg,"{"rating":4.84,"quantity":"1 kg","energy-kcal_100g":348,"energy_100g":1456,"fat_100g":0.8,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d663"),Riz basmati,basmati-rices,21,https://static.openfoodfacts.org/images/products/541/067/300/2327/front_fr.4.400.jpg,"{"rating":2.55,"quantity":"4 x 125 g","energy-kcal_100g":349,"energy_100g":1460,"fat_100g":0.8,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d664"),Basmati rice,basmati-rices,49,https://static.openfoodfacts.org/images/products/761/165/453/2705/front_en.6.400.jpg,"{"rating":2.69,"quantity":"300 g","energy-kcal_100g":135,"energy_100g":565,"fat_100g":1.6,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d665"),Riz Le Basmati du Penjab Taureau Ailé,basmati-rices,35,https://static.openfoodfacts.org/images/products/303/835/900/1055/front_fr.5.400.jpg,"{"rating":1.89,"quantity":"300 g (6 x 50 g)","energy-kcal_100g":0,"energy_100g":1490,"fat_100g":0.8,"saturated-fat_100g":0.4}"
ObjectId("5eb4a52b8c261c69a007d666"),Riz long Basmati,basmati-rices,21,https://static.openfoodfacts.org/images/products/327/665/001/5153/front_fr.5.400.jpg,"{"rating":3.48,"quantity":"5 kg","energy-kcal_100g":352,"energy_100g":1473,"fat_100g":0.7,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d667"),Riz long Basmati,basmati-rices,18,https://static.openfoodfacts.org/images/products/327/665/001/5153/front_fr.5.400.jpg,"{"rating":0.95,"quantity":"1 kg","energy-kcal_100g":350,"energy_100g":1464,"fat_100g":0.6,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d668"),Basmati Reis,basmati-rices,39,https://static.openfoodfacts.org/images/products/431/159/647/9634/front_de.7.400.jpg,"{"rating":4.02,"quantity":"1 kg","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d669"),Basmati Rice,basmati-rices,11,https://static.openfoodfacts.org/images/products/761/165/453/2705/front_en.6.400.jpg,"{"rating":1.74,"quantity":"1 kg","energy-kcal_100g":121,"energy_100g":506,"fat_100g":0.5,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d66a"),Basmati,basmati-rices,47,https://static.openfoodfacts.org/images/products/761/331/200/9833/front.3.400.jpg,"{"rating":0.08,"quantity":"500 g","energy-kcal_100g":0,"energy_100g":1485,"fat_100g":0.6,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d66b"),Basmati-Reis,basmati-rices,50,https://static.openfoodfacts.org/images/products/541/067/300/0286/front_de.8.400.jpg,"{"rating":4.07,"quantity":"750g","energy-kcal_100g":132,"energy_100g":552,"fat_100g":0.2,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d66c"),Riso Basmati,basmati-rices,12,https://static.openfoodfacts.org/images/products/800/112/097/5553/front_it.3.400.jpg,"{"rating":1.46,"quantity":"1kg","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d66d"),Basmati rice,basmati-rices,9,https://static.openfoodfacts.org/images/products/761/165/453/2705/front_en.6.400.jpg,"{"rating":1.08,"quantity":"250 g","energy-kcal_100g":135,"energy_100g":565,"fat_100g":1.8,"saturated-fat_100g":0.3}"
ObjectId("5eb4a52b8c261c69a007d66e"),Basmati Reis,basmati-rices,22,https://static.openfoodfacts.org/images/products/431/159/647/9634/front_de.7.400.jpg,"{"rating":2.83,"quantity":"1 kg","energy-kcal_100g":358,"energy_100g":1498,"fat_100g":1,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d66f"),Pure origina Basmati,basmati-rices,46,https://static.openfoodfacts.org/images/products/501/115/763/0229/front_en.13.400.jpg,"{"rating":3.49,"quantity":"1kg","energy-kcal_100g":0,"energy_100g":1505,"fat_100g":1.5,"saturated-fat_100g":0.4}"
ObjectId("5eb4a52b8c261c69a007d670"),Pure Original Basmati,basmati-rices,48,https://static.openfoodfacts.org/images/products/501/115/799/3768/front_en.6.400.jpg,"{"rating":1.97,"quantity":"1 kg","energy-kcal_100g":351,"energy_100g":1491,"fat_100g":0.8,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d671"),India gate Basmati rice,basmati-rices,17,https://static.openfoodfacts.org/images/products/069/022/510/1103/front_en.9.400.jpg,"{"rating":4.04,"quantity":"1 kg","energy-kcal_100g":344,"energy_100g":1439,"fat_100g":0.5,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d672"),Riz Basmati,basmati-rices,45,https://static.openfoodfacts.org/images/products/541/067/300/2327/front_fr.4.400.jpg,"{"rating":0.58,"quantity":"1 kg","energy-kcal_100g":357,"energy_100g":1494,"fat_100g":1.2,"saturated-fat_100g":0.1}"
ObjectId("5eb4a52b8c261c69a007d673"),Basmati rice,basmati-rices,6,https://static.openfoodfacts.org/images/products/761/165/453/2705/front_en.6.400.jpg,"{"rating":0.8,"quantity":"32 oz","energy-kcal_100g":170,"energy_100g":711,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d674"),Basmati Reis,basmati-rices,49,https://static.openfoodfacts.org/images/products/431/159/647/9634/front_de.7.400.jpg,"{"rating":1.98,"quantity":"500g","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d675"),Bean Sprouts,bean-sprouts,43,https://static.openfoodfacts.org/images/products/931/344/510/0541/front_en.6.400.jpg,"{"rating":3.38,"quantity":"250g","energy-kcal_100g":0,"energy_100g":80,"fat_100g":0.5,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d676"),Basil Seed Lychee,beverages,13,https://static.openfoodfacts.org/images/products/893/614/303/0586/front_fr.7.400.jpg,"{"rating":4.25,"quantity":"290 ml","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d677"),Chia seed drink,beverages,48,https://static.openfoodfacts.org/images/products/327/576/000/1070/front_fr.18.400.jpg,"{"rating":1.79,"quantity":"350ml","energy-kcal_100g":21,"energy_100g":88,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d678"),Crisp & savoury all butter Gruyère cheese & poppy seed twists,biscuits,23,https://static.openfoodfacts.org/images/products/500/016/910/1636/front_en.10.400.jpg,"{"rating":4.23,"quantity":"125g","energy-kcal_100g":505,"energy_100g":2113,"fat_100g":28,"saturated-fat_100g":18.5}"
ObjectId("5eb4a52b8c261c69a007d679"),Triscuit crackers rye with caraway seed 1x8.5 oz,biscuits,17,https://static.openfoodfacts.org/images/products/004/400/005/1679/front_en.4.400.jpg,"{"rating":1.72,"quantity":"8.5 oz","energy-kcal_100g":429,"energy_100g":1795,"fat_100g":12.5,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d67a"),Haricots Noirs,black-beans,37,https://static.openfoodfacts.org/images/products/332/948/424/1202/front_fr.14.400.jpg,"{"rating":1.45,"quantity":"500 g","energy-kcal_100g":315,"energy_100g":1318,"fat_100g":0.9,"saturated-fat_100g":0.23}"
ObjectId("5eb4a52b8c261c69a007d67b"),Schwarze Bohnen in Chilisauce,black-beans,14,https://static.openfoodfacts.org/images/products/438/884/404/0472/front_de.13.400.jpg,"{"rating":4.91,"quantity":"400g","energy-kcal_100g":97,"energy_100g":407,"fat_100g":1,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d67c"),Edgell Black Beans,black-beans,44,https://static.openfoodfacts.org/images/products/931/008/210/8657/front_en.4.400.jpg,"{"rating":1.95,"quantity":"400g","energy-kcal_100g":101.82,"energy_100g":426,"fat_100g":1,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d67d"),Schwarze Bohnen,black-beans,17,https://static.openfoodfacts.org/images/products/401/933/946/1105/front_en.5.400.jpg,"{"rating":4.2,"quantity":"500 g","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d67e"),Black eyed beans,black-eyed-peas,18,https://static.openfoodfacts.org/images/products/20764265/front_nl.4.400.jpg,"{"rating":1.18,"quantity":"400 g","energy-kcal_100g":110,"energy_100g":460,"fat_100g":0.7,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d67f"),Lentilles Beluga de la Brie,black-lentils,49,https://static.openfoodfacts.org/images/products/376/020/653/0035/front_fr.13.400.jpg,"{"rating":3.56,"quantity":"500 g","energy-kcal_100g":107,"energy_100g":448,"fat_100g":0.5,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d680"),Organic Forbidden Rice,black-rice,47,https://static.openfoodfacts.org/images/products/070/895/310/2603/front_en.6.400.jpg,"{"rating":4,"quantity":"15 oz./424 g","energy-kcal_100g":333,"energy_100g":1393,"fat_100g":3.33,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d681"),Lenteja de La Armuña,blonde-lentils,12,https://static.openfoodfacts.org/images/products/842/487/900/0053/front_es.6.400.jpg,"{"rating":3.31,"quantity":"1 Kg","energy-kcal_100g":291,"energy_100g":1229,"fat_100g":1.7,"saturated-fat_100g":0.23}"
ObjectId("5eb4a52b8c261c69a007d682"),Lenteja de La Armuña,blonde-lentils,35,https://static.openfoodfacts.org/images/products/842/487/900/0053/front_es.6.400.jpg,"{"rating":2.08,"quantity":"1 Kg","energy-kcal_100g":0,"energy_100g":0,"fat_100g":0,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d683"),Arroz bomba,bomba-rices,36,https://static.openfoodfacts.org/images/products/848/000/005/0250/front_es.19.400.jpg,"{"rating":1,"quantity":"1 kg","energy-kcal_100g":349,"energy_100g":1460,"fat_100g":0.9,"saturated-fat_100g":0.3}"
ObjectId("5eb4a52b8c261c69a007d684"),Arroz bomba,bomba-rices,15,https://static.openfoodfacts.org/images/products/848/000/005/0250/front_es.19.400.jpg,"{"rating":0.48,"quantity":"500g","energy-kcal_100g":349,"energy_100g":1460,"fat_100g":0.9,"saturated-fat_100g":0.3}"
ObjectId("5eb4a52b8c261c69a007d685"),Arroz bomba,bomba-rices,41,https://static.openfoodfacts.org/images/products/848/000/005/0250/front_es.19.400.jpg,"{"rating":3.06,"quantity":"1 Kg","energy-kcal_100g":332,"energy_100g":1389,"fat_100g":0.6,"saturated-fat_100g":0.2}"
ObjectId("5eb4a52b8c261c69a007d686"),Dave's killer bread, organic whole grain and seeds bread,breads,43,https://static.openfoodfacts.org/images/products/001/376/402/7053/front_en.3.400.jpg,"{"rating":1.29,"quantity":"1","energy-kcal_100g":267,"energy_100g":1117,"fat_100g":4.44,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d687"),Seeds and Grain Pane Di Casa,breads,44,https://static.openfoodfacts.org/images/products/930/063/363/7088/front_en.5.400.jpg,"{"rating":1.26,"quantity":"540g","energy-kcal_100g":0,"energy_100g":1200,"fat_100g":8.15,"saturated-fat_100g":0.926}"
ObjectId("5eb4a52b8c261c69a007d688"),Multi Seed Bloomer Slides,breads,14,https://static.openfoodfacts.org/images/products/00239219/front_fr.3.400.jpg,"{"rating":2.4,"quantity":"400 g","energy-kcal_100g":0,"energy_100g":1263,"fat_100g":9.7,"saturated-fat_100g":1.1}"
ObjectId("5eb4a52b8c261c69a007d689"),Crispbread, flax seed,breads,27,https://static.openfoodfacts.org/images/products/003/361/700/0309/front_en.3.400.jpg,"{"rating":0.56,"quantity":"7.6 oz","energy-kcal_100g":237,"energy_100g":992,"fat_100g":5.26,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d68a"),Organic early bird multi seed bread slices,breads,23,https://static.openfoodfacts.org/images/products/009/948/243/0948/front_en.8.400.jpg,"{"rating":2.94,"quantity":"795g","energy-kcal_100g":278,"energy_100g":1163,"fat_100g":7.41,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d68b"),Chia Wholegrain,breads,11,https://static.openfoodfacts.org/images/products/501/105/900/1592/front_en.5.400.jpg,"{"rating":2.49,"quantity":"800 g","energy-kcal_100g":233,"energy_100g":374,"fat_100g":2.3,"saturated-fat_100g":0.3}"
ObjectId("5eb4a52b8c261c69a007d68c"),Sprouted rye seed bread,breads,18,https://static.openfoodfacts.org/images/products/002/883/306/0107/front_en.3.400.jpg,"{"rating":3.25,"quantity":"680 g","energy-kcal_100g":265,"energy_100g":1109,"fat_100g":2.94,"saturated-fat_100g":0}"
ObjectId("5eb4a52b8c261c69a007d68d"),Protein Barries Clusters & Seeds,breakfast-cereals,38,https://static.openfoodfacts.org/images/products/505/382/720/4651/front_de.19.400.jpg,"{"rating":2.52,"quantity":"320g","energy-kcal_100g":371,"energy_100g":1552,"fat_100g":3.2,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d68e"),Porridge Bio 6 Seeds,breakfast-cereals,41,https://static.openfoodfacts.org/images/products/542/503/843/0066/front_fr.18.400.jpg,"{"rating":4.6,"quantity":"450 g","energy-kcal_100g":395,"energy_100g":1653,"fat_100g":11.8,"saturated-fat_100g":1.8}"
ObjectId("5eb4a52b8c261c69a007d68f"),All Bran,breakfast-cereals,17,https://static.openfoodfacts.org/images/products/931/005/512/2994/front_en.8.400.jpg,"{"rating":3.93,"quantity":"350 g","energy-kcal_100g":330,"energy_100g":1381,"fat_100g":2.7,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d690"),Special K protein clusters &seeds,breakfast-cereals,45,https://static.openfoodfacts.org/images/products/505/382/720/4590/front_en.4.400.jpg,"{"rating":4.18,"quantity":"320 g","energy-kcal_100g":371,"energy_100g":1552,"fat_100g":3.2,"saturated-fat_100g":0.5}"
ObjectId("5eb4a52b8c261c69a007d691"),Organic Muesli Dried Fruit Nuts, Sunflower Seeds,breakfast-cereals,30,https://static.openfoodfacts.org/images/products/073/728/234/8154/front_fr.13.400.jpg,"{"rating":0.14,"quantity":"450 g","energy-kcal_100g":210,"energy_100g":879,"fat_100g":5,"saturated-fat_100g":2}"
ObjectId("5eb4a52b8c261c69a007d692"),Rude Health Honey & Nuts Granola,breakfast-cereals,49,https://static.openfoodfacts.org/images/products/506/012/028/1937/front_en.8.400.jpg,"{"rating":0.33,"quantity":"500 g","energy-kcal_100g":458,"energy_100g":1916,"fat_100g":18,"saturated-fat_100g":3}"
ObjectId("5eb4a52b8c261c69a007d693"),5 grain & seed granola,breakfast-cereals,8,https://static.openfoodfacts.org/images/products/931/913/333/4809/front_en.18.400.jpg,"{"rating":0.87,"quantity":"450","energy-kcal_100g":424,"energy_100g":1774,"fat_100g":17.5,"saturated-fat_100g":2.2000000476837}"
